Origin,OriginCityName,OriginLat,OriginLon
DFW,"Dallas/Fort Worth, TX",32.89651945,-97.0465220537124
JFK,"New York, NY",40.642947899999996,-73.7793733748521
MSP,"Minneapolis, MN",44.878019050000006,-93.2209280537696
RDU,"Raleigh/Durham, NC",35.880361449999995,-78.78723821716514
BIL,"Billings, MT",45.809234849999996,-108.54767517885944
SLC,"Salt Lake City, UT",40.790066100000004,-111.97989846185591
DCA,"Washington, DC",38.8950368,-77.0365427
DTW,"Detroit, MI",42.205699100000004,-83.35297537621658
BNA,"Nashville, TN",36.11958985,-86.68308703291842
MCI,"Kansas City, MO",39.3022045,-94.72082795559572
MEM,"Memphis, TN",35.04625645,-89.97689466513185
AUS,"Austin, TX",30.19348925,-97.66500963529677
MSY,"New Orleans, LA",29.99420015,-90.26430439366972
BOS,"Boston, MA",42.36317665,-71.01364006269452
STL,"St. Louis, MO",38.74962725,-90.37047024952082
IAH,"Houston, TX",29.9841416,-95.33298595614491
CVG,"Cincinnati, OH",39.1014537,-84.5124602
BDL,"Hartford, CT",41.764582,-72.6908547
ORD,"Chicago, IL",41.9782523,-87.90923552598412
JAX,"Jacksonville, FL",30.49375,-81.69303816083792
DSM,"Des Moines, IA",41.534549299999995,-93.65923944589736
IND,"Indianapolis, IN",39.7162533,-86.29508388539975
PHL,"Philadelphia, PA",39.875018,-75.23521278969667
DEN,"Denver, CO",39.8606676,-104.68536732610298
BIS,"Bismarck/Mandan, ND",46.830978400000006,-100.81848625814618
BWI,"Baltimore, MD",39.1747196,-76.67075505810189
GEG,"Spokane, WA",47.620044050000004,-117.54236665513882
SAT,"San Antonio, TX",29.5334021,-98.46921443046924
MDW,"Chicago, IL",41.78551415,-87.75172434912311
MSN,"Madison, WI",43.1420815,-89.33774533660622
BUF,"Buffalo, NY",42.9402016,-78.73075229745353
OKC,"Oklahoma City, OK",35.3848053,-97.60534425082406
PIT,"Pittsburgh, PA",40.49178275,-80.23702448873742
CLE,"Cleveland, OH",41.40645365,-81.85110103836394
MCO,"Orlando, FL",28.412903550000003,-81.30944309752753
ATL,"Atlanta, GA",33.63740085,-84.42981606522355
FWA,"Fort Wayne, IN",40.9798288,-85.18791163159256
GRB,"Green Bay, WI",44.47848805,-88.14362007159838
OMA,"Omaha, NE",41.3011252,-95.88987091468039
TYS,"Knoxville, TN",35.9603948,-83.9210261
CHA,"Chattanooga, TN",35.032383550000006,-85.20167788785842
ATW,"Appleton, WI",44.25659495,-88.52169598755702
GSP,"Greer, SC",34.8954456,-82.21722845651891
DLH,"Duluth, MN",46.84188665,-92.20297537585256
CWA,"Mosinee, WI",44.7727172,-89.66716494412262
FNT,"Flint, MI",42.9602486,-83.74564547334421
FSD,"Sioux Falls, SD",43.58273465,-96.74120311335915
GRR,"Grand Rapids, MI",42.9632425,-85.6678639
GSO,"Greensboro/High Point, NC",36.0857928,-79.96555008306188
LAN,"Lansing, MI",42.77810185,-84.58586488928434
XNA,"Fayetteville, AR",36.0625843,-94.1574328
ABE,"Allentown/Bethlehem/Easton, PA",40.651113699999996,-75.44223357287248
CLT,"Charlotte, NC",35.21074145,-80.9457435226013
IAD,"Washington, DC",38.8950368,-77.0365427
FLL,"Fort Lauderdale, FL",26.072017000000002,-80.15099673135214
ICT,"Wichita, KS",37.649253,-97.43226330309298
ROC,"Rochester, NY",43.1161699,-77.67269338979611
FAR,"Fargo, ND",46.9208925,-96.81448802996968
MDT,"Harrisburg, PA",40.193209800000005,-76.75294587287746
CIU,"Sault Ste. Marie, MI",46.4976734,-84.3476583
SBN,"South Bend, IN",41.7091043,-86.32325340867524
